StockCode,Description,Daily_Demand,Annual_Demand,Avg_Price,EOQ,Safety_Stock,Reorder_Point,Total_Revenue
48138,DOORMAT UNION FLAG,10.175496688741722,3714.056291390729,7.668266818700114,492.0,115.0,186.0,40053.72
82494L,WOODEN FRAME ANTIQUE WHITE ,23.788079470198674,8682.649006622516,2.8997430167597766,1224.0,46.0,213.0,39909.170000000006
20727,LUNCH BAG  BLACK SKULL.,42.03973509933775,15344.503311258277,1.6399951100244499,2163.0,156.0,450.0,39904.0
21915,RED  HARMONICA IN BOX ,58.32615894039735,21289.048013245032,1.2519775280898877,2916.0,661.0,1069.0,39870.65
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,22.97019867549669,8384.122516556292,3.192735562310031,1146.0,282.0,443.0,39822.34
21232,STRAWBERRY CERAMIC TRINKET BOX,56.12417218543046,20485.322847682117,1.2356750941366326,2879.0,130.0,523.0,39682.67
22502,PICNIC BASKET WICKER 60 PIECES,0.10099337748344371,36.86258278145696,649.5,5.0,182.0,183.0,39619.5
21166,COOK WITH WINE METAL SIGN ,32.5364238410596,11875.794701986755,1.977408906882591,1733.0,175.0,403.0,37029.340000000004
82482,WOODEN PICTURE FRAME WHITE FINISH,25.899006622516556,9453.137417218542,2.564078947368421,1358.0,82.0,263.0,37011.1
20728,LUNCH BAG CARS BLUE,38.58278145695364,14082.71523178808,1.6495274725274724,2066.0,165.0,435.0,36644.28
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1.6672185430463575,608.5347682119206,38.497008547008555,89.0,40.0,52.0,36259.65
22629,SPACEBOY LUNCH BOX ,33.561258278145694,12249.859271523179,1.9303753351206436,1781.0,195.0,430.0,36150.99
23284,DOORMAT KEEP CALM AND COME IN,8.83774834437086,3225.778145695364,7.91196319018405,452.0,126.0,188.0,35880.85
23298,SPOTTY BUNTING,12.637417218543046,4612.657284768212,4.917840236686391,685.0,72.0,160.0,35509.55
85066,CREAM SWEETHEART MINI CHEST,4.880794701986755,1781.4900662251655,12.656833740831297,265.0,40.0,74.0,35264.729999999996
20713,JUMBO BAG OWLS,32.223509933774835,11761.581125827815,1.967599569429494,1729.0,205.0,431.0,35162.42
48194,DOORMAT HEARTS,9.582781456953642,3497.715231788079,7.629965075669383,479.0,130.0,197.0,35069.4
22114,HOT WATER BOTTLE TEA AND SYMPATHY,14.649006622516556,5346.887417218542,4.023521772345302,815.0,53.0,156.0,34479.62
22960,JAM MAKING SET WITH JARS,13.996688741721854,5108.7913907284765,4.181095132743363,782.0,72.0,170.0,33833.72
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,20.456953642384107,7466.788079470199,2.9206344410876133,1131.0,227.0,370.0,33670.240000000005
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,11.605960264900663,4236.175496688742,4.953637152777778,654.0,99.0,180.0,33298.3
20726,LUNCH BAG WOODLAND,34.629139072847686,12639.635761589405,1.6512445550715618,1956.0,172.0,414.0,33004.76
22197,SMALL POPCORN HOLDER,71.11754966887418,25957.905629139073,0.8353918791312559,3942.0,751.0,1249.0,32505.93
22699,ROSES REGENCY TEACUP AND SAUCER ,19.766556291390728,7214.793046357616,2.915397567820393,1112.0,134.0,272.0,32470.65
20725,LUNCH BAG RED RETROSPOT,33.59933774834437,12263.758278145695,1.656367771280052,1924.0,95.0,330.0,32137.5
84029E,RED WOOLLY HOTTIE WHITE HEART.,15.329470198675496,5595.2566225165565,3.784886128364389,860.0,115.0,222.0,31876.47
20685,DOORMAT RED RETROSPOT,7.956953642384106,2904.2880794701987,7.739288537549407,433.0,83.0,139.0,31864.2
21755,LOVE BUILDING BLOCK WORD,8.885761589403973,3243.30298013245,5.9658432934926955,521.0,16.0,78.0,31590.41
48187,DOORMAT NEW ENGLAND,8.519867549668874,3109.751655629139,7.720205479452055,449.0,136.0,196.0,31461.34
22630,DOLLY GIRL LUNCH BOX,28.70860927152318,10478.64238410596,1.9443280632411066,1642.0,212.0,413.0,30921.64
22727,ALARM CLOCK BAKELIKE RED ,14.092715231788079,5143.841059602649,3.7613965517241383,827.0,129.0,228.0,30703.09
85152,HAND OVER THE CHOCOLATE   SIGN ,26.7317880794702,9757.102649006623,2.081425304878049,1531.0,130.0,317.0,30615.930000000004
82486,WOOD S/3 CABINET ANT WHITE FINISH,6.478476821192053,2364.6440397350993,8.026528599605522,384.0,16.0,61.0,30363.75
22382,LUNCH BAG SPACEBOY DESIGN ,31.18211920529801,11381.473509933774,1.6465396825396825,1859.0,73.0,291.0,30131.7
22385,JUMBO BAG SPACEBOY DESIGN,27.124172185430464,9900.322847682119,1.979439918533605,1581.0,168.0,358.0,29810.15
21523,DOORMAT FANCY FONT HOME SWEET HOME,7.98841059602649,2915.769867549669,7.738181818181817,434.0,133.0,189.0,29691.95
48185,DOORMAT FAIRY CAKE,7.880794701986755,2876.4900662251657,7.754893111638955,431.0,255.0,310.0,29116.96
20712,JUMBO BAG WOODLAND ANIMALS,26.008278145695364,9493.021523178808,1.9862594594594594,1546.0,152.0,334.0,29105.5
15036,ASSORTED COLOURS SILK FAN,67.87086092715232,24772.8642384106,0.7659527559055118,4021.0,677.0,1152.0,28766.32
47590B,PINK HAPPY BIRTHDAY BUNTING,9.357615894039736,3415.5298013245033,5.4121349693251535,562.0,86.0,152.0,28581.4
20679,EDWARDIAN PARASOL RED,9.9817880794702,3643.352649006623,5.819614767255216,559.0,193.0,263.0,28557.920000000002
20914,SET/5 RED SPOTTY LID GLASS BOWLS,17.427152317880793,6360.91059602649,2.9024405506883606,1047.0,171.0,293.0,28513.300000000003
82483,WOOD 2 DRAWER CABINET WHITE FINISH,7.903973509933775,2884.9503311258277,6.194406779661017,483.0,26.0,81.0,27952.22
22379,RECYCLING BAG RETROSPOT ,23.607615894039736,8616.779801324503,2.09366927592955,1435.0,194.0,359.0,27893.78
22139,RETROSPOT TEA SET CERAMIC 11 PC ,9.51158940397351,3471.730132450331,4.975026086956522,591.0,31.0,98.0,27595.33
22865,HAND WARMER OWL DESIGN,22.64072847682119,8263.865894039734,2.1029791099000907,1402.0,113.0,271.0,27514.63
22188,BLACK HEART CARD HOLDER,16.978476821192054,6197.1440397351,3.838258196721312,898.0,394.0,513.0,27324.45
22622,BOX OF VINTAGE ALPHABET BLOCKS,4.690397350993377,1711.9950331125829,10.414902723735407,287.0,49.0,82.0,27251.26
20725,LUNCH BAG RED SPOTTY,28.90066225165563,10548.741721854305,1.6314392523364485,1798.0,113.0,315.0,27237.6
22666,RECIPE BOX PANTRY YELLOW DESIGN,15.894039735099337,5801.324503311258,2.953152594887684,991.0,107.0,218.0,27222.52
22077,6 RIBBONS RUSTIC CHARM,26.533112582781456,9684.586092715232,1.7178992805755398,1679.0,76.0,262.0,27031.04
21928,JUMBO BAG SCANDINAVIAN PAISLEY,25.427152317880793,9280.91059602649,1.914484181568088,1557.0,182.0,360.0,26847.1
22659,LUNCH BOX I LOVE LONDON,25.09271523178808,9158.84105960265,1.925752551020408,1542.0,204.0,380.0,26596.719999999998
23245,SET OF 3 REGENCY CAKE TINS,9.675496688741722,3531.556291390729,4.932690707350902,598.0,120.0,188.0,26566.280000000002
23199,JUMBO BAG APPLES,22.971854304635762,8384.726821192053,2.0620027624309394,1426.0,177.0,338.0,26426.3
21977,PACK OF 60 PINK PAISLEY CAKE CASES,90.3841059602649,32990.19867549669,0.5449906425452278,5502.0,440.0,1073.0,26407.35
22467,GUMBALL COAT RACK,18.973509933774835,6925.3311258278145,2.497053191489362,1178.0,98.0,231.0,26149.13
22492,MINI PAINT SET VINTAGE ,68.72019867549669,25082.87251655629,0.6521359223300971,4385.0,547.0,1028.0,25900.19
72741,GRAND CHOCOLATECANDLE,31.927152317880793,11653.41059602649,1.421912832929782,2024.0,216.0,439.0,25895.4
84991,60 TEATIME FAIRY CAKE CASES,87.4635761589404,31924.205298013247,0.5432928847214562,5420.0,282.0,894.0,25785.92
22752,SET 7 BABUSHKA NESTING BOXES,5.41887417218543,1977.889072847682,8.411470085470086,343.0,48.0,86.0,25620.99
22726,ALARM CLOCK BAKELIKE GREEN,11.114238410596027,4056.69701986755,3.781159695817491,732.0,67.0,145.0,24898.96
22386,JUMBO BAG PINK WITH WHITE SPOTS,22.79139072847682,8318.85761589404,1.9206675938803894,1472.0,152.0,312.0,24450.6
85099B,JUMBO BAG RED WHITE SPOTTY ,22.978476821192054,8387.1440397351,1.9092356687898089,1482.0,250.0,411.0,24323.85
23355,HOT WATER BOTTLE KEEP CALM,8.79635761589404,3210.670529801325,4.866142270861833,574.0,76.0,138.0,24302.55
47566B,TEA TIME PARTY BUNTING,9.291390728476822,3391.35761589404,4.725340393343419,599.0,96.0,161.0,24255.3
22149,FELTCRAFT 6 FLOWER FRIENDS,20.155629139072847,7356.804635761589,2.0936026380873867,1326.0,140.0,281.0,24248.29
48138,DOOR MAT UNION FLAG,6.180463576158941,2255.869205298013,7.056379310344828,400.0,45.0,88.0,24216.23
23201,JUMBO BAG ALPHABET,20.75,7573.75,2.0582430647291945,1356.0,148.0,293.0,24160.44
22624,IVORY KITCHEN SCALES,4.827814569536423,1762.1523178807945,8.530816135084429,321.0,18.0,52.0,24137.48
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,174.14735099337747,63563.78311258278,0.2619978284473398,11014.0,1390.0,2609.0,24098.03
20972,PINK CREAM FELT CRAFT TRINKET BOX ,33.21854304635762,12124.768211920531,1.2567366720516961,2196.0,163.0,396.0,23812.52
37503,TEA TIME CAKE STAND IN GIFT BOX,3.947019867549669,1440.6622516556292,10.618497854077253,260.0,48.0,76.0,23784.8
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,64.99834437086092,23724.395695364237,0.6429443447037702,4295.0,319.0,774.0,23598.510000000002
20971,PINK BLUE FELT CRAFT TRINKET BOX,33.94039735099338,12388.245033112584,1.2539292730844793,2223.0,351.0,589.0,23554.3
47590A,BLUE HAPPY BIRTHDAY BUNTING,7.75,2828.75,5.431876971608832,510.0,95.0,149.0,23531.47
22697,GREEN REGENCY TEACUP AND SAUCER,14.072847682119205,5136.589403973509,2.928878306878307,936.0,57.0,156.0,23507.24
22866,HAND WARMER SCOTTY DOG DESIGN,19.316225165562916,7050.422185430464,2.0897154471544717,1299.0,97.0,232.0,23436.660000000003
22197,POPCORN HOLDER,51.19039735099338,18684.495033112584,0.8432312404287902,3329.0,691.0,1049.0,23417.51
84836,ZINC METAL HEART DECORATION,32.0,11680.0,1.2495665878644602,2162.0,132.0,356.0,23331.43
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,20.748344370860927,7573.145695364238,1.9980487804878047,1377.0,953.0,1098.0,23322.62
22551,PLASTERS IN TIN SPACEBOY,24.210264900662253,8836.746688741723,1.6505128205128203,1636.0,117.0,286.0,23194.95
21485,RETROSPOT HEART HOT WATER BOTTLE,8.10430463576159,2958.07119205298,4.938075060532688,547.0,86.0,143.0,23085.53
22507,MEMO BOARD RETROSPOT  DESIGN,8.62251655629139,3147.218543046358,4.923924221921516,565.0,137.0,197.0,23083.44
22084,PAPER CHAIN KIT EMPIRE,13.968543046357615,5098.518211920529,2.906381486676017,937.0,106.0,204.0,23049.95
23173,REGENCY TEAPOT ROSES ,4.4072847682119205,1608.658940397351,9.70313725490196,288.0,155.0,186.0,23033.52
82583,HOT BATHS METAL SIGN,19.531456953642383,7128.98178807947,2.0745758661887694,1311.0,147.0,284.0,23010.120000000003
71459,HANGING JAM JAR T-LIGHT HOLDER,48.43543046357616,17678.9321192053,0.8305875152998776,3262.0,294.0,633.0,22805.99
21930,JUMBO STORAGE BAG SKULLS,20.37251655629139,7435.968543046358,1.9759742828882294,1372.0,97.0,240.0,22795.28
22158,3 HEARTS HANGING DECORATION RUSTIC,13.21523178807947,4823.559602649007,2.9539024390243904,904.0,130.0,223.0,22471.86
22961,JAM MAKING SET PRINTED,26.269867549668874,9588.50165562914,1.4706291390728476,1806.0,155.0,339.0,22328.95
22867,HAND WARMER BIRD DESIGN,18.211920529801326,6647.350993377484,2.1004264392324092,1258.0,90.0,217.0,22168.33
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,7.711920529801325,2814.8509933774835,4.887694300518135,537.0,334.0,388.0,22109.079999999998
82600,NO SINGING METAL SIGN,18.533112582781456,6764.586092715232,2.0697643442622953,1278.0,98.0,228.0,22097.04
84978,HANGING HEART JAR T-LIGHT HOLDER,31.47682119205298,11489.039735099337,1.2278837420526794,2163.0,97.0,317.0,22079.739999999998
22383,LUNCH BAG SUKI  DESIGN ,23.00662251655629,8397.417218543047,1.6415750915750915,1599.0,92.0,253.0,22026.4
21212,PACK OF 72 RETRO SPOT CAKE CASES,74.71688741721854,27271.66390728477,0.5364412510566356,5042.0,303.0,826.0,21838.23
21231,SWEETHEART CERAMIC TRINKET BOX,30.60927152317881,11172.384105960266,1.2468948247078464,2117.0,94.0,308.0,21793.25
21481,FAWN BLUE HOT WATER BOTTLE,12.460264900662251,4547.996688741721,3.1203333333333334,854.0,102.0,189.0,21779.5
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12.763245033112582,4658.584437086092,2.9468297455968693,889.0,65.0,154.0,21682.030000000002
21212,PACK OF 72 RETROSPOT CAKE CASES,74.04139072847683,27025.10761589404,0.5452838427947598,4978.0,397.0,915.0,21551.8
84946,ANTIQUE SILVER TEA GLASS ETCHED,30.801324503311257,11242.483443708608,1.227171464330413,2140.0,151.0,367.0,21540.440000000002
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,14.650662251655628,5347.491721854304,2.7292532467532467,990.0,259.0,362.0,21490.170000000002
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4.96523178807947,1812.3096026490066,8.376727941176469,329.0,80.0,115.0,21458.42
22835,HOT WATER BOTTLE I AM SO POORLY,7.678807947019868,2802.764900662252,4.77002444987775,542.0,53.0,107.0,21398.28
22728,ALARM CLOCK BAKELIKE PINK,9.657284768211921,3524.908940397351,3.777695262483995,683.0,128.0,196.0,21369.98
22087,PAPER BUNTING WHITE LACE,12.834437086092715,4684.569536423841,2.891445427728614,900.0,69.0,159.0,21336.350000000002
84406B,CREAM CUPID HEARTS COAT HANGER,11.062913907284768,4037.96357615894,3.38114010989011,773.0,75.0,152.0,21256.0
20749,ASSORTED COLOUR MINI CASES,4.920529801324503,1795.9933774834435,7.783772290809328,340.0,42.0,76.0,21169.64
22607,WOODEN ROUNDERS GARDEN SET ,3.9834437086092715,1453.9569536423842,9.09470588235294,283.0,30.0,58.0,20978.47
22113,GREY HEART HOT WATER BOTTLE,9.309602649006623,3398.004966887417,3.870615711252654,663.0,47.0,112.0,20977.78
22556,PLASTERS IN TIN CIRCUS PARADE ,21.70860927152318,7923.64238410596,1.6515714285714285,1549.0,144.0,296.0,20950.16
22090,PAPER BUNTING RETROSPOT,12.635761589403973,4612.05298013245,2.9078280542986428,891.0,76.0,164.0,20933.24
23202,JUMBO BAG VINTAGE LEAF,17.706953642384107,6463.038079470199,2.078562259306804,1247.0,107.0,231.0,20921.55
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9.47682119205298,3459.039735099338,3.8243483870967743,672.0,50.0,116.0,20838.9
22605,WOODEN CROQUET GARDEN SET,2.8311258278145695,1033.3609271523178,13.36233151183971,197.0,39.0,59.0,20813.809999999998
22090,PAPER BUNTING RETRO SPOTS,12.574503311258278,4589.693708609271,2.9139837398373984,887.0,133.0,221.0,20723.25
23203,JUMBO BAG VINTAGE DOILY ,17.582781456953644,6417.71523178808,2.061926751592357,1247.0,151.0,274.0,20641.4
21314,SMALL GLASS HEART TRINKET POT,17.29635761589404,6313.170529801324,2.086136680613668,1230.0,179.0,300.0,20588.260000000002
22722,SET OF 6 SPICE TINS PANTRY DESIGN,8.8841059602649,3242.698675496689,3.9170180722891565,643.0,167.0,229.0,20506.300000000003
22554,PLASTERS IN TIN WOODLAND ANIMALS,21.2317880794702,7749.602649006622,1.6482718271827181,1533.0,101.0,250.0,20471.68
22698,PINK REGENCY TEACUP AND SAUCER,12.264900662251655,4476.688741721854,2.925139813581891,875.0,86.0,172.0,20329.640000000003
48184,DOORMAT ENGLISH ROSE ,5.228476821192053,1908.3940397350993,7.711163793103449,352.0,115.0,152.0,20298.8
20711,JUMBO BAG TOYS ,18.751655629139073,6844.354304635762,1.9533382789317506,1324.0,179.0,310.0,20283.78
22969,HOMEMADE JAM SCENTED CANDLES,23.198675496688743,8467.516556291392,1.4492720970537263,1709.0,331.0,493.0,20204.8
37449,CERAMIC CAKE STAND + HANGING CAKES,3.769867549668874,1376.0016556291391,9.582457420924573,268.0,51.0,77.0,20204.579999999998
21790,VINTAGE SNAP CARDS,41.58940397350993,15180.132450331124,0.8475531914893617,2993.0,137.0,428.0,19957.34
22585,PACK OF 6 BIRDY GIFT TAGS,27.788079470198674,10142.649006622516,1.2484327603640042,2015.0,127.0,322.0,19950.85
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,7.125827814569536,2600.927152317881,4.89958393113343,515.0,58.0,108.0,19921.27
84970S,HANGING HEART ZINC T-LIGHT HOLDER,42.03476821192053,15342.690397350992,0.8483304347826086,3007.0,150.0,444.0,19821.96
22083,PAPER CHAIN KIT RETRO SPOT,12.170529801324504,4442.2433774834435,2.897267206477733,876.0,174.0,259.0,19804.550000000003
22617,BAKING SET SPACEBOY DESIGN,6.895695364238411,2516.92880794702,4.9832170978627675,503.0,62.0,110.0,19719.21
22294,HEART FILIGREE DOVE  SMALL,26.920529801324502,9825.993377483443,1.2456292286874153,1986.0,158.0,346.0,19686.6
22941,CHRISTMAS LIGHTS 10 REINDEER,4.117549668874172,1502.905629139073,8.442137592137591,298.0,92.0,121.0,19590.9
22273,FELTCRAFT DOLL MOLLY,11.925496688741722,4352.806291390729,2.947116736990155,859.0,222.0,305.0,19332.93
22570,FELTCRAFT CUSHION RABBIT,8.973509933774835,3275.331125827815,3.7321617647058822,662.0,105.0,168.0,19282.55
21524,DOORMAT SPOTTY HOME SWEET HOME,4.422185430463577,1614.0976821192055,7.825094339622642,321.0,33.0,64.0,19215.5
48188,DOORMAT WELCOME PUPPIES,5.538079470198675,2021.3990066225165,7.803179347826087,360.0,168.0,207.0,19178.670000000002
22625,RED KITCHEN SCALES,3.9072847682119205,1426.158940397351,8.440307298335467,291.0,21.0,48.0,19149.63
21791,VINTAGE HEADS AND TAILS CARD GAME ,26.81953642384106,9789.130794701987,1.2553514526710403,1975.0,155.0,343.0,19147.65
22568,FELTCRAFT CUSHION OWL,8.794701986754967,3210.066225165563,3.759832041343669,653.0,67.0,129.0,19128.13
22569,FELTCRAFT CUSHION BUTTERFLY,8.869205298013245,3237.2599337748343,3.730334302325581,659.0,98.0,160.0,18865.21
22413,METAL SIGN TAKE IT OR LEAVE IT ,11.281456953642385,4117.731788079471,2.942393272962484,836.0,233.0,312.0,18863.02
85150,LADIES & GENTLEMEN METAL SIGN,13.374172185430464,4881.57284768212,2.5220805369127515,984.0,75.0,169.0,18847.98
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,28.54635761589404,10419.420529801324,1.2356028368794325,2053.0,991.0,1191.0,18798.98
22501,PICNIC BASKET WICKER LARGE,3.402317880794702,1241.8460264900664,9.797122736418512,252.0,46.0,70.0,18794.25
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,4.180463576158941,1525.8692052980134,7.75091533180778,314.0,32.0,61.0,18618.75
21622,VINTAGE UNION JACK CUSHION COVER,5.822847682119205,2125.33940397351,4.949712230215828,463.0,126.0,167.0,18495.47
22558,CLOTHES PEGS RETROSPOT PACK 24 ,22.20198675496689,8103.725165562914,1.4597565725413828,1666.0,82.0,237.0,18411.74
21213,PACK OF 72 SKULL CAKE CASES,63.79139072847682,23283.857615894038,0.5392444821731749,4646.0,360.0,807.0,18319.18
22499,WOODEN UNION JACK BUNTING,5.240066225165563,1912.6241721854306,5.9413679245283015,401.0,32.0,69.0,18251.280000000002
23206,LUNCH BAG APPLE DESIGN,19.089403973509935,6967.632450331126,1.6413439635535307,1457.0,104.0,238.0,18220.5
22384,LUNCH BAG PINK POLKADOT,18.86092715231788,6884.238410596026,1.651290322580645,1444.0,74.0,206.0,18207.2
21908,CHOCOLATE THIS WAY METAL SIGN,15.556291390728477,5678.0463576158945,2.107663782447466,1161.0,151.0,260.0,18041.24
84949,SILVER HANGING T-LIGHT HOLDER,19.263245033112582,7031.084437086092,1.632958199356913,1467.0,149.0,284.0,18001.35
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2.8178807947019866,1028.526490066225,12.110182291666666,206.0,38.0,58.0,17888.71
22561,WOODEN SCHOOL COLOURING SET,18.473509933774835,6742.8311258278145,1.6494392523364485,1430.0,106.0,235.0,17861.22
21174,POTTERING IN THE SHED METAL SIGN,15.309602649006623,5588.004966887417,1.9918013856812935,1184.0,107.0,214.0,17814.51
22555,PLASTERS IN TIN STRONGMAN,18.29139072847682,6676.35761589404,1.6477445339470655,1423.0,169.0,297.0,17664.44
22456,NATURAL SLATE CHALKBOARD LARGE ,6.6490066225165565,2426.8874172185433,4.880536912751678,499.0,102.0,149.0,17637.16
23344,JUMBO BAG 50'S CHRISTMAS ,14.789735099337749,5398.253311258279,2.070135135135135,1142.0,106.0,210.0,17636.04
22427,ENAMEL FLOWER JUG CREAM,5.031456953642384,1836.48178807947,5.912011331444759,394.0,28.0,63.0,17471.23
21936,RED RETROSPOT PICNIC BAG,10.417218543046358,3802.284768211921,2.938879432624114,804.0,72.0,145.0,17462.96
22061,LARGE CAKE STAND  HANGING STRAWBERY,3.4536423841059603,1260.5794701986754,9.548828828828828,257.0,48.0,72.0,17354.85
22147,FELTCRAFT BUTTERFLY HEARTS,20.869205298013245,7617.259933774834,1.4482816901408448,1622.0,185.0,331.0,17238.05
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,24.880794701986755,9081.490066225166,1.2380069324090122,1915.0,187.0,361.0,17162.93
21479,WHITE SKULL HOT WATER BOTTLE ,7.513245033112582,2742.3344370860927,3.8781432360742705,595.0,71.0,124.0,16917.32
21136,PAINTED METAL PEARS ASSORTED,16.978476821192054,6197.1440397351,1.6879916897506926,1355.0,96.0,215.0,16907.51
22633,HAND WARMER UNION JACK,13.847682119205299,5054.403973509934,2.0868471720818293,1100.0,84.0,181.0,16857.36
22560,TRADITIONAL MODELLING CLAY,23.829470198675498,8697.756622516557,1.251544227886057,1864.0,183.0,350.0,16851.64
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,34.97516556291391,12765.935430463576,0.8471959459459459,2745.0,259.0,504.0,16833.35
